,symbol,label,translation
5382,aspiration,aspiration,aspiratie
5383,assInALionSSkin,ass in a lion’s skin,kont in de huid van een leeuw
5384,deer,Deer,Hert
5385,deerOnEitherSideOfTheWheelOfLaw,deer on either side of the Wheel of Law,herten aan weerszijden van het wiel van de wet
5386,bachelorSButtons,bachelor’s buttons,vrijgezellen knopen
5387,backBody,back (body),rug (lichaam)
5388,backDoor,back door,achterdeur
5389,bacon,bacon,spek
5390,baetylicStone,baetylic stone,baetylic steen
5391,baldHeadedManWithAVultureSBody,bald-headed man with a vulture’s body,kale man met het lichaam van een gier
5392,bambooPlumAndPine,"bamboo, plum, and pine","bamboe, pruimen en dennen"
5393,carnelianRing,carnelian ring,carneool ring
5394,carpet,carpet,tapijt
5395,carriage,carriage,rijtuig
5397,carrion,carrion,Aas
5398,carvedOnATempleDoor,carved on a temple door,gesneden op een tempeldeur
5399,cask,cask,vat
5400,casket,casket,juwelenkistje
5401,cassia,cassia,cassia
5402,cassielArchangel,"Cassiel, Archangel","Cassiël, Aartsengel"
5403,cassocksOfOtherColors,cassocks of other colors,soutanes van andere kleuren
5404,castanets,castanets,Castagnetten
5405,castleOfDarkness,castle of darkness,kasteel van duisternis
5406,castleOfLight,castle of light,kasteel van licht
5407,castorAndPollux,Castor and Pollux,Castor en Pollux
5408,bison,bison,bizon
5409,bite,bite,beet
5410,doubleSpiral,double spiral,dubbele spiraal
5411,doubleWalnut,double walnut,dubbele walnoot
5412,dragonGuard,dragon guard,draken bewaker
5413,dragonInFlames,dragon in flames,draak in vlammen
5414,dragonInTheClouds,dragon in the clouds,draak in de wolken
5415,dragonLedByACordOrTransfixedWithASpear,dragon led by a cord or transfixed with a spear,draak geleid door een koord of aan de grond genageld met een speer
5416,dragonNursingSerpent,dragon nursing serpent,draak zogende slang
5417,dragonOrSerpentWithSevenHeads,dragon or serpent with seven heads,draak of slang met zeven koppen
5418,dragonSlainBoundOrChained,"dragon slain, bound, or chained","draak gedood, gebonden of geketend"
5419,dragonThrownIntoAPitByAnAngel,dragon thrown into a pit by an angel,draak in een put gegooid door een engel
5420,dragonUnderfoot,dragon underfoot,draak onder de voet
5421,dragonWithAKnottedTail,dragon with a knotted tail,draak met een geknoopte staart
5422,dragonWithTwoHeads,dragon with two heads,draak met twee koppen
5423,drain,drain,droogleggen
5424,drapedUrn,draped urn,gedrapeerde urn
5425,drawbridge,drawbridge,valbrug
5426,drawingWaterFromAWell,drawing water from a well,water uit een put halen
5427,drawnByFourWhiteHorses,drawn by four white horses,getrokken door vier witte paarden
5428,dream,dream,droom
5429,dreamingOfFlyingOnOneSBack,dreaming of flying on one’s back,dromen van vliegen op je rug
5430,dreamingOfLoss,dreaming of loss,dromen van verlies
5431,dreamOfAnAnchor,dream of an anchor,droom van een anker
5432,dreamOfBlackGoats,dream of black goats,droom van zwarte geiten
5433,dreamOfGoats,dream of goats,droom van geiten
5434,dreamOfWalkingOnWater,dream of walking on water,droom van lopen op water
5435,dreamOfWildBoars,dream of wild boars,droom van wilde zwijnen
5436,driedWhiteRose,dried white rose,gedroogde witte roos
5437,drinking,drinking,drinken
5438,drinkingBlood,drinking blood,bloed drinken
5439,drinkingFromACymbal,drinking from a cymbal,drinken uit een cimbaal
5440,drinkingFromTheSameCup,drinking from the same cup,uit dezelfde beker drinken
5441,drinkingGlass,drinking glass,drinkglas
5442,drinkingGlassWithASerpentInIt,drinking glass with a serpent in it,drinkglas met een slang erin
5443,drinkingOrDrawingWaterFromAWell,drinking or drawing water from a well,water drinken of putten uit een put
5444,drivingAStakeThroughASerpentSHead,driving a stake through a serpent’s head,een staak door de kop van een slang slaan
5445,droppingOrClosingACurtain,dropping or closing a curtain,een gordijn laten vallen of sluiten
5446,drought,drought,droogte
5447,drowning,drowning,verdrinking
5448,altarFire,altar fire,altaar vuur
5449,aluminum,aluminum,aluminium
5450,alyssum,alyssum,alyssum
5451,amaryllis,amaryllis,amaryllis
5452,amberNecklace,amber necklace,barnsteen ketting
5453,ambrosiaMythologicalFood,ambrosia (mythological food),ambrozijn (mythologisch voedsel)
5454,americanAlligator,American alligator,Amerikaanse alligator
5455,americanBison,American bison,Amerikaanse bizon
5456,americanBlackBear,American black bear,Amerikaanse zwarte beer
5457,americanRobin,American robin,Amerikaans roodborstje
5458,elephant,elephant,olifant
5459,elephant,Elephant,Olifant
5460,cherryTree,cherry tree,kersenboom
5461,dolphin,dolphin,dukdalf
5463,dolphin,Dolphin,Dolfijn
5464,dolphinPullingAChariot,dolphin pulling a chariot,dolfijn die een wagen trekt
5465,dolphinSpearedByATridentOrOnAnAnchor,dolphin speared by a trident or on an anchor,dolfijn gespietst door een drietand of op een anker
5466,dolphinWithABoat,dolphin with a boat,dolfijn met een boot
5467,dolphinWithAnchor,dolphin with anchor,dolfijn met anker
5468,dolphinWithAnchorOrBoat,dolphin with anchor or boat,dolfijn met anker of boot
5469,dolphinWithTrident,dolphin with trident,dolfijn met drietand
5470,dominicanMonkCarryingAMonstranceAndOrStatueOfTheVirginMary,Dominican monk carrying a monstrance and/or statue of the Virgin Mary,Dominicaanse monnik die een monstrans en/of beeld van de Maagd Maria draagt
5471,dominoes,dominoes,dominostenen
5472,doricColumn,Doric column,Dorische zuil
5473,dormantVolcano,dormant volcano,inactieve vulkaan
5474,dorothyWizardOfOz,Dorothy (Wizard of Oz),Dorothy (Tovenaar van Oz)
5475,dot,dot,punt
5476,doubleAlmond,double almond,dubbele amandel
5477,doubleAster,double aster,dubbele aster
5478,doubleCoyote,double coyote,dubbele coyote
5479,doubleDaisy,double daisy,dubbele madeliefje
5480,doubleEagle,double eagle,dubbele adelaar
5481,doubleGourd,double gourd,dubbele kalebas
5482,doubleheadedAxe,doubleheaded axe,dubbelkoppige bijl
5483,doubleHeadedAxe,double-headed axe,tweekoppige bijl
5484,doubleHeadedAxeWithAStoneOrOpenBible,double-headed axe with a stone or open Bible,tweekoppige bijl met een steen of open Bijbel
5485,doubleheadedAxeWithCrown,doubleheaded axe with crown,dubbelkoppige bijl met kroon
5486,doubleHeadedCow,double-headed cow,tweekoppige koe
5487,doubleheadedEagle,doubleheaded eagle,dubbelkoppige adelaar
5488,doubleHeadedEagle,double-headed eagle,dubbelkoppige adelaar
5489,doubleHeadedEagle,Double-headed eagle,Tweekoppige adelaar
5490,bridgeGuardedByTwoDogs,bridge guarded by two dogs,brug bewaakt door twee honden
5491,brightYellow,bright yellow,fel geel
5492,brokenCup,broken cup,gebroken beker
5493,eaglePeckingAtTitanSLiver,eagle pecking at titan’s liver,adelaar pikt in Titans lever
5494,eagleRisingOutOfCauldron,eagle rising out of cauldron,adelaar die oprijst uit de ketel
5495,eagleSClaw,eagle’s claw,adelaarsklauw
5496,eagleSScream,eagle’s scream,adelaarsschreeuw
5497,eagleWithASerpentInItsTalonsOrDevouringIt,eagle with a serpent in its talons or devouring it,adelaar met een slang in zijn klauwen of die hem verslindt
5498,eagleWithHumanArms,eagle with human arms,adelaar met menselijke armen
5499,eagleWithSpreadWings,eagle with spread wings,adelaar met gespreide vleugels
5500,earlyChristian,early Christian,vroeg christelijk
5501,earOfGrain,ear of grain,korenaar
5502,earringOnADervish,earring on a Dervish,oorbel op een derwisj
5503,earsWithLongLobes,ears with long lobes,oren met lange lobben
5504,earthenware,earthenware,aardewerk
5505,earthquake,earthquake,aardbeving
5506,east,east,oosten-
5507,east,East,Oosten
5508,eveningPrimrose,evening primrose,teunisbloem
5509,eveningStarDescending,evening star descending,avondster aflopend
5510,eveningTempleBells,evening temple bells,avond tempelklokken
5511,evergreenClematis,evergreen clematis,groenblijvende clematis
5512,evergreens,evergreens,evergreens
5513,evergreenThorn,evergreen thorn,groenblijvende doorn
5514,evergreenTree,evergreen tree,groenblijvende boom
5515,everlastingPea,everlasting pea,eeuwige erwt
5516,evilSmell,evil smell,slechte geur
5517,exchangingWeapons,exchanging weapons,wapens uitwisselen
5518,exitingATunnel,exiting a tunnel,een tunnel verlaten
5519,extinguishingAHearthFire,extinguishing a hearth fire,een haardvuur blussen
5520,extinguishingALamp,extinguishing a lamp,een lamp doven
5521,extraFingers,extra fingers,extra vingers
5522,extraterrestrial,extraterrestrial,buitenaards
5523,extraToe,extra toe,extra teen
5524,eyebright,eyebright,ogentroost
5525,eyebrowsSetCloseToEyes,eyebrows set close to eyes,wenkbrauwen dicht bij de ogen
5526,eyebrowsSetFarApart,eyebrows set far apart,wenkbrauwen ver uit elkaar
5527,eyelids,eyelids,oogleden
5528,eyeOfTheHeart,eye of the heart,oog van het hart
5529,eyeOfVaruna,eye of Varuna,oog van Varuna
5530,eyesight,eyesight,gezichtsvermogen
5531,eyesInOddPlacesOfTheBody,eyes in odd places of the body,ogen op vreemde plaatsen van het lichaam
5532,eyesOfFlame,eyes of flame,ogen van vlammen
5533,eyesWithDarkRingsAroundThem,eyes with dark rings around them,ogen met donkere kringen eromheen
5534,fabricusLuscinus,Fabricus Luscinus,Fabricus Lusinus
5535,faceChinOrNeckMole,"face, chin, or neck mole","gezicht, kin of nek mol"
5536,facingNorth,facing North,op het noorden gericht
5537,faggots,faggots,takkenbossen
5538,fairy,fairy,fee
5539,easternBoxTurtle,Eastern box turtle,Oosterse doosschildpad
5540,easternForest,Eastern forest,Oostelijk bos
5541,easternWoodlands,Eastern woodlands,oostelijke bossen
5542,eastWind,East wind,oostenwind
5543,eatenAsFood,eaten as food,gegeten als voedsel
5544,eating,eating,eten
5545,eatingAnAlmond,eating an almond,een amandel eten
5546,eatingFromATambourine,eating from a tambourine,eten van een tamboerijn
5547,eatingOffAnotherSDish,eating off another’s dish,van andermans gerecht eten
5548,ebbTide,ebb tide,eb
5549,ebony,ebony,ebbehout
5550,ebonyCouch,ebony couch,ebbenhouten bank
5551,ebonyThrone,ebony throne,ebbenhouten troon
5552,echidna,echidna,echidna
5553,echidnaMythology,Echidna (mythology),Echidna (mythologie)
5554,echo,echo,echo
5555,echoMythology,Echo (mythology),Echo (mythologie)
5556,eclipse,eclipse,verduistering
5557,eclipseOfTheSun,eclipse of the sun,zonsverduistering
5558,edelweiss,edelweiss,edelweiss
5559,buckle,buckle,gesp
5560,bucklingUp,buckling up,vastgeknikt
5561,buddha,Buddha,boeddha
5562,buddhaHoldingAnAlmsBowlInHisLeftHand,Buddha holding an alms bowl in his left hand,Boeddha met een aalmoeskom in zijn linkerhand
5563,buddhaSHand,Buddha’s hand,Boeddha&#39;s hand
5564,buds,buds,knoppen
5565,buffalo,buffalo,buffel
5566,buffalo,Buffalo,Buffels
5567,bugle,bugle,Klaroen
5568,bugloss,bugloss,ossetong
5569,bullAndBear,bull and bear,stier en beer
5570,bullAndLion,bull and lion,stier en leeuw
5571,bulldog,bulldog,buldog
5572,bullHorns,bull horns,stier horens
5573,bullMan,bull-man,stier-man
5574,bullRiddenByAWoman,bull ridden by a woman,stier bereden door een vrouw
5575,bullRoar,bull roar,stier brullen
5576,bullroarer,bullroarer,bullroarer
5577,bullrush,bullrush,bullrush
5578,bullTiedToAFigTree,bull tied to a fig tree,stier vastgebonden aan een vijgenboom
5579,bullWithCenser,bull with censer,stier met wierookvat
5580,bullWithGoldenHorns,bull with golden horns,stier met gouden horens
5581,bunchOfGrapes,bunch of grapes,TROS druiven
5582,bunchOfKeys,bunch of keys,sleutelbos
5583,eel,eel,aal
5584,effigy,effigy,beeltenis
5585,efígieDaRepBlica,Efígie da República,Efigie da República
5586,eggAndDartDesign,egg and dart design,ei en dart ontwerp
5587,eggLaidByTheNileGoose,egg laid by the Nile Goose,ei gelegd door de Nijlgans
5588,eggshell,eggshell,eierschaal
5589,eggShell,egg shell,eierschaal
5590,eggshellOrConicalCapsOfCastorAndPollux,eggshell or conical caps of Castor and Pollux,eierschaal of conische doppen van Castor en Pollux
5591,eggSurroundedBySerpent,egg surrounded by serpent,ei omgeven door slang
5592,eggWhite,egg white,eiwit
5593,eggWithBrokenShell,egg with broken shell,ei met gebroken schaal
5594,egypt,Egypt,Romeins en Byzantijns Egypte
5596,egyptianColumn,Egyptian column,Egyptische zuil
5597,egyptianJewish,"Egyptian, Jewish","Egyptisch, Joods"
5598,eiffelTower,Eiffel Tower,Eiffeltoren
5599,eightAngelsAroundAThrone,eight angels around a throne,acht engelen rond een troon
5600,eightLeggedMare,eight-legged mare,achtbenige merrie
5601,eightPetaledRose,eight-petaled rose,achtbladige roos
5602,eightPointedStar,eight-pointed star,achtpuntige ster
5603,ekoi,Ekoi,Ekoi
5604,elderTree,elder tree,vlierboom
5605,electricalAppliances,electrical appliances,elektrische apparaten
5606,electricEel,electric eel,elektrische paling
5607,chrysolite,chrysolite,chrysoliet
5608,cinnabarOrange,cinnabar orange,cinnaber sinaasappel
5609,circle,circle,cirkel
5610,blueSteelArmor,blue steel armor,blauw stalen pantser
5611,blueTiger,blue tiger,blauwe tijger
5612,blueTourmaline,blue tourmaline,blauwe toermalijn
5613,blueViolet,blue violet,blauw Violet
5614,bluishGreen,bluish green,blauwig-groen
5615,bluishGreen,bluish-green,blauwig-groen
5616,boarAndBear,boar and bear,beer en beer
5617,boarMaskOrHelmet,boar mask or helmet,zwijn masker of helm
5618,boarSHead,boar’s head,zwijnskop
5619,boarWithGoldenBristles,boar with golden bristles,zwijn met gouden haren
5620,boatWithEightOars,boat with eight oars,boot met acht roeispanen
5621,body,body,lichaam
5622,bodyHair,body hair,lichaamshaar
5623,boloTie,Bolo tie,Bolo stropdas
5624,bonaparteNapoleon,"Bonaparte, Napoleon","Bonaparte, Napoleon"
5625,boneset,boneset,bottenset
5626,bonfire,bonfire,vreugdevuur
5627,bonfireOfBones,bonfire of bones,vreugdevuur van botten
5628,bookPages,book pages,boekpagina&#39;s
5629,bookPiercedByASword,book pierced by a sword,boek doorboord door een zwaard
5630,bookWithPen,book with pen,boek met pen
5631,bookWithScrollOrTallCross,book with scroll or tall cross,boek met rol of hoog kruis
5632,bookWithSword,book with sword,boek met zwaard
5633,boomerang,boomerang,boemerang
5634,boomerang,Boomerang,Boemerang
5635,borage,borage,borage
5636,boreasAquilo,Boreas/Aquilo,Boreas/Aquilo
5637,bororo,Bororo,Bororo
5638,bottle,bottle,fles
5639,bottleBrushTree,bottle brush tree,flessenborstel boom
5640,bottomlessCask,bottomless cask,bodemloos vat
5641,fishAndLoavesOfBread,fish and loaves of bread,vis en broden
5642,fishAndWallet,fish and wallet,vis en portemonnee
5643,fishDanglingFromACrosier,fish dangling from a crosier,vis bungelend aan een staf
5644,fishGeranium,fish geranium,vis geranium
5645,fishhook,fishhook,vishaak
5646,dew,dew,dauw
5647,diamondGem,diamond (gem),diamant (edelsteen)
5648,falcon,falcon,valk
5649,fawn,fawn,reekalf
5650,fawnSkinCloak,fawn-skin cloak,mantel van fawnhuid
5651,fawnSkinCloakOrSandals,fawn-skin cloak or sandals,mantel of sandalen van fawnhuid
5652,fawnSkinSandals,fawn-skin sandals,bruine sandalen
5653,fear,fear,angst
5654,fearOfBeingRunOverByATrain,fear of being run over by a train,angst om door een trein overreden te worden
5655,featheredCrown,feathered crown,gevederde kroon
5656,featheredDress,feathered dress,gevederde jurk
5657,featheredRobe,feathered robe,gevederde mantel
5658,featheredSerpentWithHorns,feathered serpent with horns,gevederde slang met hoorns
5659,feathersInAScale,feathers in a scale,veren in een schaal
5660,feathersSurmountedByABlueBird,feathers surmounted by a blue bird,veren met daarboven een blauwe vogel
5661,featheryOrSplit,feathery or split,gevederd of gespleten
5662,feetAboveAMountain,feet above a mountain,voeten boven een berg
5663,feetEmergingFromCloudAboveAMountain,feet emerging from cloud above a mountain,voeten die uit een wolk boven een berg komen
5664,feetOfBrass,feet of brass,voeten van koper
5665,feetOfClay,feet of clay,lemen voeten
5666,fellingATree,felling a tree,een boom vellen
5667,femaleAndrosphinxWithManyBreasts,female androsphinx with many breasts,vrouwelijke androsfinx met veel borsten
5668,femaleBeggarHoldingAHeavyStone,female beggar holding a heavy stone,vrouwelijke bedelaar die een zware steen vasthoudt
5669,femaleOgre,female ogre,vrouwelijke boeman
5670,femaleSerpent,female serpent,vrouwelijke slang
5671,femaleSoldier,female soldier,vrouwelijke soldaat
5672,femaleWarrior,female warrior,vrouwelijke strijder
5673,femaleWarriorAmongShepherdsAndBasketmakers,female warrior among shepherds and basketmakers,vrouwelijke krijger onder herders en mandenmakers
5674,femaleWarriorAmongShepherdsAndBasketMakers,female warrior among shepherds and basket-makers,vrouwelijke krijger onder herders en mandenmakers
5675,fence,fence,hek
5676,fengHuang,Feng-huang,Feng-huang
5677,fennel,fennel,venkel
5678,fennelWreath,fennel wreath,venkel krans
5679,fenrirTheWolf,Fenrir the wolf,Fenrir de wolf
5680,fermentation,fermentation,fermentatie
5681,fern,fern,varens
5682,fernLeaf,fern leaf,varenblad
5683,ferule,ferule,ferule
5684,fetterlock,fetterlock,voetkuisters
5685,fever,fever,koorts
5686,fewSeedsRemain,few seeds remain,er zijn nog maar weinig zaden
5687,fibulaClaspOrBuckle,fibula (clasp or buckle),kuitbeen (gesp of gesp)
5688,yankeeDoodle,Yankee Doodle,Yankee Doodle
5689,yarmulke,yarmulke,keppeltje
5690,lizard,lizard,hagedis
5691,lobster,lobster,Kreeft
5692,deerAntlersAndOrSkin,deer antlers and/or skin,hertengewei en/of huid
5693,deerSkin,deer skin,hertenhuid
5694,deerSkinAndOrAntlers,deer skin and/or antlers,hertenhuid en/of gewei
5695,deerWithMaple,deer with maple,hert met esdoorn
5696,defeatedDragon,defeated dragon,verslagen draak
5697,deformityOrInjuryOfTheFoot,deformity or injury of the foot,misvorming of letsel van de voet
5698,deitiesCarvedOnDoorJambs,deities carved on door jambs,goden gesneden op deurposten
5699,deityGodNakedToTheWaist,deity god naked to the waist,godheid god naakt tot aan de taille
5700,deityTreadingPeopleUnderfoot,deity treading people underfoot,godheid die mensen onder de voet loopt
5701,delta,delta,delta
5702,deltaGreekLetter,delta (Greek letter),delta (Griekse letter)
5703,deluge,deluge,zondvloed
5704,demogorgon,Demogorgon,Demogorgon
5705,demon,demon,demon
5706,demonBuffalo,demon buffalo,demon buffel
5707,demonEmergingFromVictimSMouth,demon emerging from victim’s mouth,demon die uit de mond van het slachtoffer komt
5708,demonInChains,demon in chains,demon in ketenen
5709,demonUnderfoot,demon underfoot,demon onder de voet
5710,demonWhisperingInManSEar,demon whispering in man’s ear,demon fluistert in het oor van de mens
5711,demonWithBrassFingernails,demon with brass fingernails,demon met koperen nagels
5712,demonWithIronScissors,demon with iron scissors,demon met ijzeren schaar
5713,demonWithIronTeeth,demon with iron teeth,demon met ijzeren tanden
5714,demonWithIronTeethAndScissors,demon with iron teeth and scissors,demon met ijzeren tanden en schaar
5715,demonWithSerpentHair,demon with serpent hair,demon met slangenhaar
5716,departurePlatform,departure platform,vertrekplatform
5717,dervish,dervish,derwisj
5718,dervishes,dervishes,derwisjen
5719,descending,descending,aflopend
5720,descendingALadder,descending a ladder,een ladder afdalen
5721,descendingBird,descending bird,dalende vogel
5722,descendingStairs,descending stairs,aflopende trap
5723,desert,desert,woestijn
5724,closedDoor,closed door,gesloten deur
5725,closedEyes,closed eyes,gesloten ogen
5726,closedGate,closed gate,gesloten poort
5727,closedOrTurretedGate,closed or turreted gate,gesloten poort of poort met torentjes;
5728,closedRoomWithoutWindows,closed room without windows,gesloten kamer zonder ramen
5729,closet,closet,kast
5730,clovenFoot,cloven foot,gespleten voet
5731,clovenHoof,cloven hoof,gespleten hoef
5732,clover,clover,Klaver
5733,coalMineral,coal (mineral),steenkool (mineraal)
5734,coatOfArmsOfThePrinceOfWales,Coat of arms of the Prince of Wales,Wapen van de Prins van Wales
5735,cobbler,cobbler,schoenmaker
5736,cobblerSTools,cobbler’s tools,gereedschap voor schoenmakers
5737,cobra,cobra,cobra
5738,cobra,Cobra,Cobra
5739,cobraWithSevenHeads,cobra with seven heads,cobra met zeven koppen
5740,coccinellaSeptempunctata,Coccinella septempunctata,Coccinella septempunctata
5741,cockroach,cockroach,kakkerlak
5742,coconut,coconut,kokosnoot
5743,coconutPalmTree,coconut palm tree,kokospalm
5744,cocoon,cocoon,cocon
5745,codfish,codfish,kabeljauw
5746,coffin,coffin,doodskist
5747,cogwheel,cogwheel,tandwiel
5748,coinsAtTheFeetOfAnOldMan,coins at the feet of an old man,munten aan de voeten van een oude man
5749,colaNut,cola nut,kolanoot
5750,coldTemperature,cold (temperature),koud (temperatuur)
5751,318,318,318
5752,33,33,33
5753,333,333,333
5754,36,36,36
5755,90,90,90
5756,99,99,99
5757,999,999,999
5758,a,A,A
5759,abacus,abacus,telraam
5760,abandonment,abandonment,in de steek laten
5761,abduction,abduction,ontvoering
5762,abel,Abel,Abel
5763,aberystwythHymnTune,Aberystwyth (hymn tune),Aberystwyth (hymne)
5764,abnormality,abnormality,afwijking
5765,abortion,abortion,abortus
5766,castration,castration,castratie
5767,catalpa,catalpa,catalpa
5768,catastrophe,catastrophe,catastrofe
5769,catchfly,catchfly,vangst
5770,caterpillar,caterpillar,rups
5771,fudo,Fudo,Fudo
5772,fudo,fudo,fudo
5773,gall,gall,gal
5774,gall,Gall,Gal
5775,ganesha,Ganesha,Ganesha
5776,garden,garden,tuin
5777,gardenAnemone,garden anemone,tuinanemoon
5778,gardenGate,garden gate,tuinhek
5779,gardenMarigold,garden marigold,tuin goudsbloem
5780,gardenOfTheSun,Garden of the Sun,Tuin van de zon
5781,gardenRanunculus,garden ranunculus,tuin ranonkel
5782,gardenSage,garden sage,tuin salie
5783,gardenWallflower,garden wallflower,tuin muurbloempje
5784,gardenWithWaterInTheCenter,garden with water in the center,tuin met water in het centrum
5785,gargoyle,gargoyle,waterspuwer
5786,garlandOfFennel,garland of fennel,slinger van venkel
5787,garlandOfRedAndWhiteRoses,garland of red and white roses,slinger van rode en witte rozen
5788,garment,garment,kledingstuk
5789,garmr,Garmr,Garmr
5790,garters,garters,kousenbanden
5791,gasoline,gasoline,benzine
5792,gayal,Gayal,Gayal
5793,gazelleHeadedGoddess,gazelle-headed goddess,gazelle-headed godin
5794,gazelleHorns,gazelle horns,gazelle hoorns
5795,geese,geese,ganzen
5796,gemini,Gemini,Tweeling
5797,entanglement,entanglement,verstrikking
5798,enteringABuildingLeftFootFirst,entering a building left foot first,het betreden van een gebouw linkervoet eerst
5799,enteringACave,entering a cave,een grot binnengaan
5800,enteringATunnel,entering a tunnel,een tunnel ingaan
5801,ephesusChurchOf,"Ephesus, Church of","Efeze, Kerk van"
5802,dwarfStandingOnOneFoot,dwarf standing on one foot,dwerg die op één voet staat
5803,dwarfSunflower,dwarf sunflower,dwerg zonnebloem
5804,dwarfWearingALionSSkin,dwarf wearing a lion’s skin,dwerg die de huid van een leeuw draagt
5805,dyingDeer,dying deer,stervend hert
5806,dynamo,dynamo,dynamo
5807,e,E,E
5808,eagleAndGlobeOrOrb,eagle and globe or orb,adelaar en globe of orb
5809,eagleAndJar,eagle and jar,adelaar en kruik
5810,eagleAndJug,eagle and jug,adelaar en kruik
5811,eagleAndOwl,eagle and owl,adelaar en uil
5812,eagleAndOwlTogether,eagle and owl together,adelaar en uil samen
5813,eagleAndRaven,eagle and raven,adelaar en raaf
5814,eagleAndSerpent,eagle and serpent,adelaar en slang
5815,eagleAndWolf,eagle and wolf,adelaar en wolf
5816,eagleAsABirdOfPrey,eagle as a bird of prey,adelaar als roofvogel
5817,eagleAtopAColumn,eagle atop a column,adelaar bovenop een kolom
5818,eagleAtopALadder,eagle atop a ladder,adelaar bovenop een ladder
5819,eagleAtTheTopOfALadder,eagle at the top of a ladder,adelaar op de top van een ladder
5820,eagleCarryingAFlamingPentacle,eagle carrying a flaming pentacle,adelaar met een vlammend pentagram
5821,eagleCarryingAFlamingPentagram,eagle carrying a flaming pentagram,adelaar die een vlammend pentagram draagt
5822,eagleCarryingAVictim,eagle carrying a victim,adelaar die een slachtoffer draagt
5823,eagleClaw,eagle claw,Adelaarsklauw
5824,eagleDevouringALion,eagle devouring a lion,adelaar die een leeuw verslindt
5825,eagleDevouringALionOrBull,eagle devouring a lion or bull,adelaar die een leeuw of stier verslindt
5826,eagleEyes,eagle eyes,arendsogen
5827,eagleFeatherHeadDress,eagle-feather head-dress,hoofdtooi van adelaarsveren
5828,eagleFeathers,eagle feathers,adelaarsveren
5829,eagleFlyingUpward,eagle flying upward,adelaar die omhoog vliegt
5830,eagleHeadedGodWithWingsAndDisk,eagle-headed god with wings and disk,adelaarskopgod met vleugels en schijf
5831,eagleHeadedGodWithWingsAndDiskOrJustAWingedDisk,"eagle-headed god with wings and disk, or just a winged disk","god met adelaarskop met vleugels en schijf, of gewoon een gevleugelde schijf"
5832,eagleHeadedGodWithWingsAndDiskOrWingedDiskAlone,"eagle-headed god with wings and disk, or winged disk alone","god met adelaarskop met vleugels en schijf, of alleen gevleugelde schijf"
5833,eagleHoldingAThunderbolt,eagle holding a thunderbolt,adelaar die een bliksemschicht vasthoudt
5834,eagleOfSaladin,Eagle of Saladin,Adelaar van Saladin
5835,eagleOwl,eagle owl,Arend Uil
5836,eagleOwlDisguiseAtABearFeast,eagle owl disguise at a bear feast,oehoe vermomming op een berenfeest
5837,eagleOwlFeathersOnACloak,eagle owl feathers on a cloak,oehoe veren op een mantel
5838,eagleOwlHead,eagle owl head,oehoe hoofd
5839,eaglePlungingIntoWater,eagle plunging into water,adelaar die in het water duikt
5840,eagleStaringAtTheSun,eagle staring at the sun,adelaar die naar de zon staart
5841,earBeingCutOff,ear being cut off,oor wordt afgesneden
5842,berriesOnABranch,berries on a branch,bessen aan een tak
5843,dodo,dodo,dodo
5844,dodo,Dodo,Dodo
5845,doe,doe,doe
5846,dogAndWolf,dog and wolf,hond en wolf
5847,dogBeingDevouredByAWolf,dog being devoured by a wolf,hond wordt verslonden door een wolf
5848,dogHair,dog hair,hondenhaar
5849,dogHeadedGod,dog-headed god,hondenkop god
5850,dogHowlingNearADwelling,dog howling near a dwelling,hond huilt in de buurt van een woning
5851,dogRose,dog rose,hondsroos
5852,dogs,dogs,honden
5853,dogsOfHades,dogs of Hades,honden van Hades
5854,dogWithAFlamingTorchInItsMouthOrSpittingFire,dog with a flaming torch in its mouth or spitting fire,hond met een brandende fakkel in zijn bek of vuurspuwend
5855,dogWithFourEyes,dog with four eyes,hond met vier ogen
5856,dogWithPreyInItsPaws,dog with prey in its paws,hond met prooi in zijn poten
5857,dogwoodBlossoms,dogwood blossoms,kornoeljebloesems
5858,dollar,dollar,dollar
5859,dolmen,dolmen,hunebed
5860,blackFlag,black flag,zwarte vlag
5861,blackGarments,black garments,zwarte kleding
5862,blackGloves,black gloves,zwarte handschoenen
5863,blackHand,black hand,zwarte Hand
5864,blackHare,black hare,zwarte haas
5865,blackHen,black hen,zwarte kip
5866,blackHorse,black horse,zwart paard
5867,azureDragon,azure dragon,azuurblauwe draak
5868,azurite,azurite,azuriet
5869,baal,Baal,Baal
5870,babdTheRaven,Babd the raven,Bab de raaf
5871,babelTowerOf,"Babel, Tower of","Babel, Toren van"
5872,baboonWithUpliftedHands,baboon with uplifted hands,baviaan met opgeheven handen
5873,babylon,Babylon,Babylon
5874,bluePeriwinkle,blue periwinkle,blauwe maagdenpalm
5875,blueRainCloak,blue rain cloak,blauwe regenmantel
5876,blueRainCloak,blue rain-cloak,blauwe regenmantel
5877,blueRitualCap,blue ritual cap,blauwe rituele pet
5878,bundleOfArrows,bundle of arrows,bundel pijlen
5879,burial,burial,graflegging
5880,burialAlive,burial alive,levend begraven
5881,burnedEggs,burned eggs,verbrande eieren
5882,burningBush,burning bush,brandende struik
5883,circleWithADotInTheCenter,circle with a dot in the center,cirkel met een punt in het midden
5884,citrine,citrine,citrien
5885,citron,citron,citroen
5886,cityOnAHill,city on a hill,stad op een heuvel
5887,cityWalls,city walls,stadsmuur
5888,cityWith1000Gates,"city with 1,000 gates",stad met 1.000 poorten
